bysex,bystlang,byincome,stu_exp,par_asp,mth_read,mth_test,rd_test,freelnch,stu_tch,putdownt,safe,disrupt,gangs,rac_fght,fair,strict,stolen,drugs,t_hurt,p_fight,hit,damaged,bullied,late,skipped
2,1,10,3,5,56.21,52.11,59.53,5,2,1,3,3,2,1,3,3,1,1,1,1,1,1,1,3,3
2,0,8,7,5,51.96,66.32,37.35,5,2,3,3,3,3,2,2,2,1,1,1,1,1,1,2,1,1
1,1,6,2,5,36.81,35.11,40.19,7,3,2,1,2,NA,4,4,2,1,1,1,1,1,1,1,4,2
2,0,11,5,5,52.56,59.07,45.73,3,3,2,3,3,2,4,4,2,3,1,2,2,2,1,1,3,4
2,0,9,6,7,53.45,54.7,51.77,6,3,3,3,2,2,3,3,2,1,1,1,1,1,1,1,3,2
2,1,4,5,6,45.97,43.88,48.57,6,2,3,4,3,NA,3,2,2,1,1,1,1,1,1,1,2,1
1,NA,9,NA,2,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,5,3,3,52.02,50.79,53,2,2,4,3,1,3,3,2,2,1,1,3,1,1,1,3,1,1
2,1,8,6,5,46.98,47.63,46.72,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,9,2,3,41.69,44.99,39.45,3,2,3,3,2,3,1,2,3,1,1,2,1,3,1,2,3,1
1,1,12,NA,6,66.52,75.98,54.97,1,2,4,4,3,3,4,2,2,2,1,1,2,2,1,1,1,1
2,1,12,6,7,75.55,72.17,75.68,1,2,3,4,3,4,4,2,3,1,1,1,1,1,1,1,2,2
2,1,11,5,6,58.12,58.64,56.58,1,2,3,2,3,3,3,2,2,2,1,1,1,1,1,1,3,1
1,1,10,5,5,55.43,55.57,54.61,1,2,3,3,3,3,3,2,3,1,1,2,1,2,1,1,5,1
NA,NA,11,NA,5,57.68,56.16,58.22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,6,5,6,61.52,60.32,61.26,1,2,3,3,2,4,3,2,2,2,3,1,1,1,1,1,4,2
1,1,11,3,3,47.09,52.65,41.91,1,2,3,3,2,3,3,3,2,1,1,1,1,1,1,1,1,1
1,1,11,6,5,60.39,64.24,55.22,2,2,3,4,3,3,3,2,2,1,2,1,1,1,1,1,2,1
1,1,12,5,5,63.64,66.26,59.29,2,2,3,3,2,3,3,2,2,1,1,1,1,1,1,2,1,1
1,0,12,7,7,56.6,57.39,54.97,NA,2,2,3,3,4,3,4,1,1,1,2,1,2,1,1,1,1
1,1,10,6,5,60.35,63.54,55.84,5,2,4,3,3,3,3,2,3,1,1,2,1,1,1,1,1,1
1,1,13,6,7,51.25,54.28,48.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,10,5,5,56.43,53.49,58.55,NA,1,3,4,3,3,3,2,2,1,1,1,1,1,1,1,1,1
2,1,11,5,6,38.08,38,39.69,NA,3,3,4,4,4,2,4,3,2,3,1,1,1,1,1,4,1
2,0,10,6,5,45.74,47.64,44.38,NA,2,4,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1
2,1,10,6,5,52.2,50.38,53.74,1,2,3,3,3,3,3,3,2,1,2,1,1,1,1,1,2,1
2,1,10,5,6,62.57,55.64,67.91,1,2,2,3,1,3,4,3,3,2,1,1,1,1,1,2,2,1
2,1,9,6,7,59.49,54.06,63.72,1,2,3,3,3,3,3,2,2,1,1,1,1,1,1,1,3,1
1,1,10,7,6,59.14,64.98,52.14,1,2,3,4,4,4,4,3,2,1,1,1,1,1,1,1,3,1
2,1,6,NA,3,45.98,43.29,49.18,1,2,3,2,3,2,3,3,2,2,2,1,1,2,1,2,2,1
2,1,10,4,3,50.86,48.36,53.25,1,2,3,4,2,4,4,3,2,2,2,3,1,1,2,3,2,1
1,1,10,5,5,68.37,67.73,66.68,1,2,3,4,4,4,4,4,3,1,1,1,1,1,3,1,2,1
1,1,9,5,6,63.61,62.38,63.11,1,2,4,4,2,3,3,2,2,1,1,1,1,1,1,1,2,1
