STU_ID,SCH_ID,BYSEX,BYRACE,BYSTLANG,BYPARACE,BYPARLNG,BYFCOMP,BYPARED,BYMOTHED,BYFATHED,BYINCOME,BYSTEXP,BYPARASP,BYTXCSTD,BYTXMSTD,BYTXRSTD,BYSCTRL,BYURBAN,BYREGION,BY10FLP,BYS20A,BYS20B,BYS20C,BYS20D,BYS20E,BYS20F,BYS20G,BYS20H,BYS20I,BYS20J,BYS20K,BYS20L,BYS20M,BYS20N,BYS21A,BYS21B,BYS21C,BYS21D,BYS21E,BYS22A,BYS22B,BYS22C,BYS22D,BYS22E,BYS22F,BYS22G,BYS22H,BYS24A,BYS24B,BYS24C,BYS24D,BYS24E,BYS24F,BYS24G,BYS27A,BYS27B,BYS27C,BYS27D,BYS27E,BYS27F,BYS27G,BYS27H,BYS27I,BYS28,BYS34A,BYS34B,BYS35A,BYS35B,BYS36A,BYS36B,BYS37,BYS38A,BYS38B,BYS38C,BYS42,BYS43,BYS44A,BYS44B,BYS44C,BYS44D,BYS44E,BYS44H,BYS45A,BYS45B,BYS45C,BYS47A,BYS47B,BYS48A,BYS48B,BYS85A,BYS85B,BYS85C,BYS85D,BYS85F,BYS85G,BYS86A,BYS86B,BYS86C,BYS86D,BYS86I,BYS87A,BYS87B,BYS87C,BYS87D,BYS87E,BYS87F,BYS88A,BYS88B,BYS89A,BYS89B,BYS89C,BYS89D,BYS89E,BYS89F,BYS89G,BYS89H,BYS89I,BYS89J,BYS89K,BYS89L,BYS89M,BYS89N,BYS89O,BYS89P,BYS89Q,BYS89R,BYS89S,BYS89T,BYS89U,BYS89V,BYS90A,BYS90B,BYS90C,BYS90D,BYS90E,BYS90F,BYS90G,BYS90H,BYS90J,BYS90K,BYS90L,BYS90M,BYS90Q,BYS91
101101,1011,2,5,1,7,1,3,5,1,5,10,3,5,56.21,52.11,59.53,1,1,1,5,2,3,1,2,2,2,3,1,3,3,3,2,2,1,2,3,4,3,2,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,2,2,3,2,2,3,3,2,2,2,1,6,0,2,0,4,3,2,3,2,0,2,4,4,1,4,4,1,4,2,4,4,3,6,6,4,3,3,3,2,3,2,2,2,3,2,3,3,3,3,2,3,3,2,2,1,2,1,1,1,2,1,3,1,3,2,2,3,2,2,1,2,2,2,1,2,2,2,3,2,2,3,2,2,1,3,3,3,3,2
101126,1011,2,2,0,2,5,1,1,1,1,8,7,5,51.96,66.32,37.35,1,1,1,5,2,2,1,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,3,1,3,3,2,3,3,NA,1,3,1,1,1,2,3,2,1,1,1,1,2,3,1,3,3,2,4,4,3,4,4,5,6,1,1,3,2,2,2,1,1,1,2,2,2,3,2,3,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
102107,1021,1,3,1,3,1,5,1,1,1,6,2,5,36.81,35.11,40.19,1,1,1,7,3,4,2,2,4,NA,3,2,3,1,2,3,NA,4,2,4,2,2,2,1,1,1,1,1,1,1,1,4,2,5,3,1,2,1,3,2,3,2,2,4,2,2,1,1,4,4,1,2,3,3,3,2,2,3,6,4,4,4,1,2,3,4,2,2,2,1,2,6,6,4,3,4,3,3,3,2,2,2,2,2,2,2,4,2,NA,4,2,2,1,2,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102232,1022,2,2,0,2,5,1,6,2,6,11,5,5,52.56,59.07,45.73,1,1,1,3,3,1,1,2,2,3,4,2,4,3,3,3,2,4,1,4,2,2,2,3,1,2,2,2,1,1,1,3,4,1,1,1,1,1,4,3,2,2,1,2,2,4,3,2,3,0,1,0,1,0,2,1,4,3,2,0,3,1,1,3,4,1,4,3,1,4,3,5,6,1,1,3,4,1,3,1,1,1,1,1,2,3,2,4,2,2,2,1,2,3,1,2,3,1,2,2,2,2,2,3,2,2,3,2,2,3,2,3,3,2,3,2,2,3,2,3,2,2,1,2,3,3,2,2
103205,1032,2,5,0,5,2,3,5,5,5,9,6,7,53.45,54.7,51.77,1,1,1,6,3,3,2,2,3,2,2,3,3,3,2,2,2,3,2,3,2,2,2,1,1,1,1,1,1,1,1,3,2,1,2,1,1,1,2,3,3,1,3,3,1,2,1,2,2,4,1,1,1,2,4,1,2,1,1,2,2,1,4,2,3,1,4,4,3,4,3,3,5,2,2,3,1,1,2,1,1,1,2,2,2,2,2,2,2,NA,2,3,2,2,2,3,2,2,3,3,3,2,2,3,2,3,2,4,2,2,2,2,3,3,2,2,1,2,1,2,2,1,1,2,2,3,3,1
103226,1032,2,5,1,NA,NA,5,1,1,1,4,5,6,45.97,43.88,48.57,1,1,1,6,2,2,1,3,2,2,2,3,3,4,3,3,NA,3,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,3,1,2,3,1,2,1,2,2,2,1,1,1,1,4,1,1,1,1,NA,3,3,1,4,4,1,4,2,2,4,2,2,3,3,3,3,2,2,4,2,2,2,3,3,3,2,2,3,2,2,1,4,2,2,3,3,3,2,3,4,3,3,3,2,2,4,4,4,3,2,2,4,3,4,3,2,1,3,1,3,2,3,2,2,2,1,2,1
103229,1032,1,NA,NA,3,1,1,2,2,2,9,NA,2,NA,NA,NA,1,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105125,1051,2,7,1,7,1,2,2,1,2,5,3,3,52.02,50.79,53,1,2,1,2,2,3,2,2,2,3,3,4,3,3,1,2,3,3,2,2,3,2,3,1,1,3,1,1,1,1,3,1,1,3,1,1,1,1,2,3,3,1,2,2,1,2,1,2,2,5,1,1,1,1,3,2,2,2,1,1,1,4,1,3,1,1,2,3,2,3,5,1,2,3,2,4,4,2,4,3,3,3,3,3,3,3,3,3,3,2,2,4,4,2,1,2,2,1,2,1,2,2,2,2,3,2,2,2,1,3,3,2,3,3,3,3,3,3,2,3,1,3,1,2,2,1,2,2
105216,1052,2,7,1,7,1,6,5,5,4,8,6,5,46.98,47.63,46.72,1,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,3,3,1,1,0,3,NA,NA,NA,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,3,2,3,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107221,1072,1,7,1,7,1,6,2,2,2,9,2,3,41.69,44.99,39.45,1,2,1,3,2,3,2,1,2,2,3,3,3,3,2,2,3,1,1,2,1,3,2,1,1,2,1,3,1,1,2,3,1,3,4,4,2,1,2,2,2,1,2,3,1,2,1,2,1,0,1,0,1,0,3,1,1,2,1,1,2,1,2,3,2,1,3,2,2,4,3,3,3,1,1,1,1,1,1,1,1,1,2,1,2,3,3,4,4,2,2,3,3,3,2,3,2,2,2,3,2,2,2,2,3,2,2,3,2,2,3,2,2,3,3,2,1,2,2,3,1,3,2,2,2,2,3,2
