AB39M,AB39T,AB39U,AB39W,AB39X,GA33A,GA33H,GA33I,GA33K,GA33L,ENGINEER,MATHG7,MATHG8,MATHG10,MATHG11,MATHG12,FEMALE,KA9B,KA9C,KA9D,KA9G,KA9K,CPROB11,CPROB12,CPROB13,CPROB14,CMOD1,CASENUM
1,1,1,1,1,1,1,1,0,0,9999,9999,36,49.5,41.17,9999,0,9999,9999,9999,9999,9999,0.957,0.043,0,0,1,1002
0,0,1,0,0,9999,9999,9999,9999,9999,0,9999,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,0,0,0.934,0.066,3,1004
1,1,0,0,0,9999,9999,9999,9999,9999,9999,35.79,9999,9999,9999,9999,0,9999,9999,9999,9999,9999,0.006,0,0.994,0,3,1006
0,0,0,1,1,0,0,0,0,0,0,53.29,9999,63.29,68.57,9999,0,0,1,1,1,0,0.008,0.965,0,0.026,2,1009
0,1,1,0,0,1,1,1,1,1,0,55.49,62.35,78.89,85.3,80.23,0,0,0,0,0,0,0.013,0,0.987,0,3,1011
0,0,0,0,0,0,0,0,1,0,9999,45.21,51.24,57.33,57.25,65.05,1,0,0,0,1,1,0,0,0.117,0.883,4,1012
1,1,0,1,1,9999,9999,9999,9999,9999,0,61.64,9999,9999,9999,9999,1,1,0,1,1,0,0.58,0.42,0,0,1,1016
1,1,1,1,1,1,1,1,1,1,1,71.57,79.55,91.12,87.71,89.64,0,1,1,1,1,1,0.957,0.043,0,0,1,1017
1,0,0,0,0,1,1,1,1,0,0,62.19,70.96,77.06,9999,9999,0,9999,9999,9999,9999,9999,0,0,0.307,0.693,4,1023
1,0,0,1,1,1,1,1,0,1,0,39.06,42.48,9999,9999,9999,0,9999,9999,9999,9999,9999,0.031,0.964,0,0.006,2,1024
0,0,0,0,0,0,0,0,0,0,9999,44.31,9999,47.93,47.15,51.42,1,0,1,0,0,1,0,0,0.117,0.883,4,1029
1,0,0,0,0,9999,9999,9999,9999,9999,9999,68.9,72.43,9999,9999,9999,1,9999,9999,9999,9999,9999,0,0,0.307,0.693,4,1032
1,0,1,0,1,1,1,1,0,1,0,44.24,40.36,45.14,50.34,52.57,0,1,0,1,1,1,0.048,0.951,0,0.001,2,1033
1,1,1,1,1,0,0,0,0,0,9999,48.46,52.89,62.23,66.09,9999,1,9999,9999,9999,9999,9999,0.957,0.043,0,0,1,1034
1,1,0,9999,1,0,0,1,1,1,9999,48.47,49.89,62.57,59.55,63.36,1,1,1,1,1,0,0.407,0.593,0,0,2,1036
1,0,0,0,0,0,0,0,0,0,0,34.89,41.85,33.37,63.42,9999,1,9999,9999,9999,9999,9999,0,0,0.307,0.693,4,1039
0,0,1,0,1,1,1,1,1,1,9999,42.68,45.11,52.75,60.45,59.88,0,1,0,1,1,1,0.014,0.982,0,0.004,2,1040
1,1,1,1,1,1,1,1,0,1,9999,46.17,56.87,65.87,71.17,9999,0,9999,9999,9999,9999,9999,0.957,0.043,0,0,1,1041
0,0,0,0,0,1,0,0,0,0,0,42.98,55.82,59.89,9999,9999,0,1,0,1,1,1,0,0,0.117,0.883,4,1043
0,1,0,0,0,9999,9999,9999,9999,9999,9999,9999,38.22,9999,9999,9999,0,9999,9999,9999,9999,9999,0.001,0,0.999,0,3,1044
0,0,0,0,1,0,1,1,1,1,0,71.87,75.91,88.97,95.35,97.56,0,1,0,1,1,1,0.001,0.763,0,0.236,2,1045
1,0,0,1,1,9999,9999,9999,9999,9999,0,47.83,39.21,9999,9999,9999,1,9999,9999,9999,9999,9999,0.031,0.964,0,0.006,2,1046
0,0,1,0,1,9999,9999,9999,9999,9999,0,51.44,55.69,9999,9999,9999,1,9999,9999,9999,9999,9999,0.014,0.982,0,0.004,2,1047
1,1,0,0,1,0,0,0,0,0,0,55.21,59.68,69.05,68.39,72.27,1,0,0,0,0,0,0.121,0.879,0,0,2,1052
