rural,gender,fathed,mothed,mth_scor,sci_scor,phy_scor,bio_scor
0,0,2,2,70.05,59.69,52.96,70.58
0,0,2,2,59.36,55.29,53.07,51.93
0,1,4,3,68.47,59.85,56.91,57.94
0,1,2,2,61.66,52.5,52.65,56.25
0,1,4,2,69.87,65.09,63.69,70.58
0,1,2,2,64.22,56.47,55.71,52.36
0,1,2,2,57.04,58.5,54.93,63.14
0,1,5,4,60.13,59.39,54.17,70.58
0,0,2,2,60.66,50.88,55.73,45.76
0,0,4,3,71.66,72.72,71.39,63.14
0,1,2,3,59.61,49.53,51.61,48.95
0,1,2,3,55.06,50.21,49.64,43.8
0,1,1,2,61.99,52.13,50.34,45.76
0,1,3,2,60.09,46.7,44.83,41.71
0,1,3,2,58.98,63.32,63.51,51.97
0,1,1,2,57.98,47.52,43.7,45.24
0,1,2,2,47.5,54.93,53.79,53.01
0,0,2,3,47.49,45.82,50.13,34.75
0,0,1,1,55.03,46.47,44.36,45.71
0,0,2,2,66.3,72.12,72.59,64.67
0,0,2,2,51.44,47.24,46.32,43.65
0,1,2,2,55.65,52.19,46.81,56.25
0,1,2,2,56.52,53.65,56.82,48.27
0,1,2,2,50.04,64.52,63.4,60.43
0,1,4,1,50.1,49.84,55.45,47.21
0,0,2,2,43.43,44.1,41.39,45.71
0,0,2,1,46.64,44.85,38.93,48.15
0,1,2,5,40.12,44.33,47.09,36.92
0,1,5,2,39.13,37.37,32.12,50.18
0,1,1,2,55.69,40.04,40.57,44.58
0,0,NA,2,47.3,52.05,46.34,54.19
0,0,2,2,43.58,41.27,40.41,45.76
0,0,2,2,49.28,40.66,41.02,38.23
0,1,5,1,51.41,39.89,39.61,52.36
0,1,4,2,44.11,41.1,41.83,43.49
0,0,1,2,48.8,40.21,42.55,37.48
0,0,2,2,51.78,59.61,58.28,60.15
0,0,1,NA,47.81,37.47,36.26,45.76
0,1,NA,2,49.73,52.31,49.44,52.91
0,1,4,3,47.33,41.82,39.04,50.6
0,0,1,2,40.39,35.07,34.87,42.22
0,0,1,2,42.58,49.22,54.78,38.01
0,0,1,2,33,35.76,33.5,35.05
0,1,4,2,37.63,31.87,33.13,32.61
0,0,2,2,48.03,39.28,45.82,37.03
0,0,3,2,42.98,47.96,46.47,46.4
0,0,1,1,48.33,51.55,56.47,53.01
0,1,2,5,42.11,40.74,36.47,40.42
0,0,5,2,36.17,39.13,36.46,45.12
0,0,NA,NA,48.05,38.12,43.4,32.71
0,0,NA,2,44.19,41.86,38.78,45.56
0,1,2,1,31.14,47.58,47.32,39.71
0,0,NA,2,38.34,50.37,44.66,62.73
0,0,NA,1,36.78,37.21,36.84,37.59
0,0,2,1,31.52,41.99,44.7,29.29
0,1,5,5,67.35,65.24,59.58,65.73
0,0,2,2,44.24,49.9,45.43,52.15
