rural,gender,fathed,mothed,math_07,math_08,math_09,math_10,math_11,math_12,sci_07,sci_08,sci_09,sci_10,sci_11,sci_12
0,0,2,2,70.05,69.23,71.07,78.52,81.66,78.77,59.69,69.34,71.93,71.55,74.15,79.18
0,0,2,2,59.36,65.2,68.92,72.06,70,75.05,55.29,61.71,60.1,59.38,59.84,64.89
0,1,4,3,68.47,69.31,76.32,79.89,80.57,NA,59.85,61.95,66.5,69.33,75.79,77.7
0,1,2,2,61.66,66.08,71.02,70,82.12,90.01,52.5,60.92,68,68.02,73.85,73.3
0,1,4,2,69.87,65.75,70.11,74.47,76.04,80.02,65.09,58.8,62.45,66.1,73.94,74.74
0,1,2,2,64.22,63.88,59.37,61.9,78.31,79.07,56.47,58.53,57.14,55.76,57.67,63.45
0,1,2,2,57.04,59.93,63.68,67.42,NA,NA,58.5,69.76,68.91,68.05,NA,NA
0,1,5,4,60.13,62.04,66.54,69.46,72.38,84.56,59.39,59.65,64.33,61.41,65.82,61.57
0,0,2,2,60.66,64.14,68.15,72.15,NA,NA,50.88,46.12,50.63,55.14,NA,NA
0,0,4,3,71.66,70.5,80.25,86.79,NA,NA,72.72,71.19,73.46,78.06,NA,NA
0,1,2,3,59.61,56.93,60.27,64.52,66.64,69.56,49.53,58.05,59.7,61.41,65.22,67.5
0,1,2,3,55.06,48.32,63.48,63.96,65.59,75.09,50.21,49.96,53.22,64.61,65.32,68.03
0,1,1,2,61.99,63.86,63.75,62.71,66.48,69.11,52.13,58.22,61.13,66.54,65.25,62.35
0,1,3,2,60.09,62.21,56.01,63.67,67.68,69.66,46.7,49.73,61.37,66.54,64.78,62.48
0,1,3,2,58.98,60.26,63.02,65.77,NA,NA,63.32,62.04,62.02,61.99,NA,NA
0,1,1,2,57.98,60.38,64.33,68.85,81.31,78.24,47.52,58.92,63.86,63.28,65.43,63.39
0,1,2,2,47.5,63.41,64.84,67.74,NA,NA,54.93,62.02,65.3,67.64,NA,NA
