Frequency,ENJOY,USEFUL,LOGICAL,JOB,ADULT,CPROB1,CPROB2,CPROB3,CPROB4,C_MODAL
529,1,1,1,1,1,0.957,0,0.043,0,1
94,1,1,1,0,1,0.687,0,0.313,0,1
78,0,1,1,1,1,0.859,0,0.141,0,1
62,1,1,0,1,1,0.58,0,0.42,0,1
55,1,1,1,1,0,0.65,0.35,0,0,1
10,1,1,NA,1,1,0.916,0,0.084,0,1
8,1,NA,1,1,1,0.869,0,0.131,0,1
7,1,1,1,NA,1,0.917,0,0.083,0,1
5,1,NA,NA,NA,NA,0.391,0.248,0.224,0.136,1
2,NA,1,1,1,1,0.944,0,0.056,0,1
2,1,NA,NA,1,1,0.766,0,0.233,0.001,1
2,0,1,NA,1,1,0.75,0,0.25,0,1
2,NA,NA,NA,NA,1,0.547,0,0.438,0.015,1
1,1,NA,1,NA,1,0.767,0,0.233,0,1
1,NA,NA,1,1,1,0.836,0,0.164,0,1
1,NA,1,0,1,1,0.515,0,0.485,0,1
1,NA,1,1,NA,NA,0.755,0.162,0.083,0,1
1,1,1,NA,0,1,0.52,0,0.48,0,1
1,0,NA,1,1,1,0.646,0,0.354,0,1
1,1,1,1,1,NA,0.927,0.034,0.039,0,1
135,1,0,1,0,0,0.002,0.977,0,0.021,2
88,0,0,1,0,0,0,0.934,0,0.066,2
74,1,1,1,0,0,0.063,0.937,0,0,2
47,1,1,0,0,0,0.006,0.994,0,0,2
44,1,0,0,1,0,0.004,0.643,0,0.353,2
42,0,1,1,0,0,0.013,0.987,0,0,2
35,0,1,0,0,0,0.001,0.999,0,0,2
32,1,0,1,1,0,0.056,0.94,0,0.005,2
24,0,0,1,1,0,0.011,0.972,0,0.017,2
21,0,1,1,1,0,0.262,0.738,0,0,2
20,1,1,0,1,0,0.15,0.85,0,0,2
13,0,1,0,1,0,0.033,0.967,0,0,2
7,1,0,NA,0,0,0.001,0.501,0,0.498,2
4,0,1,NA,0,0,0.008,0.992,0,0,2
4,0,NA,1,0,0,0.005,0.952,0,0.044,2
3,1,1,NA,0,0,0.039,0.961,0,0,2
3,1,0,1,NA,0,0.014,0.969,0,0.017,2
3,1,NA,NA,1,0,0.268,0.633,0,0.099,2
2,1,NA,1,1,0,0.41,0.588,0,0.002,2
2,0,1,1,NA,0,0.082,0.918,0,0,2
2,1,1,NA,0,NA,0.285,0.47,0.245,0,2
2,1,NA,1,0,0,0.024,0.962,0,0.013,2
2,1,NA,0,1,0,0.047,0.704,0,0.249,2
2,NA,1,0,0,0,0.004,0.996,0,0,2
1,0,0,NA,1,0,0.004,0.551,0,0.445,2
1,0,NA,1,1,0,0.116,0.874,0,0.01,2
1,NA,0,1,0,0,0.001,0.959,0,0.04,2
1,0,0,1,NA,0,0.003,0.942,0,0.055,2
1,1,1,NA,NA,0,0.221,0.779,0,0,2
1,1,0,NA,NA,0,0.005,0.545,0,0.45,2
1,1,NA,NA,0,0,0.009,0.603,0,0.387,2
1,1,NA,1,NA,0,0.148,0.843,0,0.01,2
1,0,1,NA,NA,NA,0.347,0.434,0.218,0,2
1,NA,NA,1,NA,0,0.104,0.877,0,0.019,2
91,1,0,0,0,1,0.003,0,0.937,0.06,3
88,1,0,1,1,1,0.337,0,0.663,0,3
76,1,0,1,0,1,0.048,0,0.951,0.001,3
70,1,0,0,1,1,0.031,0,0.964,0.006,3
53,0,0,0,0,1,0.001,0,0.763,0.236,3
41,1,1,0,0,1,0.121,0,0.879,0,3
36,0,0,1,0,1,0.014,0,0.982,0.004,3
35,0,0,1,1,1,0.122,0,0.877,0,3
34,0,0,0,1,1,0.008,0,0.965,0.026,3
19,0,1,1,0,1,0.376,0,0.624,0,3
18,0,1,0,0,1,0.036,0,0.964,0,3
14,0,1,0,1,1,0.275,0,0.725,0,3
4,1,NA,1,0,1,0.397,0,0.602,0,3
3,1,0,1,NA,1,0.201,0,0.798,0,3
3,1,1,0,NA,1,0.407,0,0.593,0,3
3,0,0,0,NA,1,0.004,0,0.841,0.156,3
3,1,NA,0,1,1,0.292,0,0.705,0.003,3
3,1,0,NA,0,1,0.023,0,0.943,0.033,3
3,1,NA,0,0,1,0.038,0,0.92,0.042,3
1,0,NA,0,1,1,0.1,0,0.882,0.017,3
1,NA,NA,NA,0,1,0.191,0,0.766,0.043,3
1,0,1,NA,0,1,0.229,0,0.771,0,3
1,1,0,NA,1,1,0.2,0,0.797,0.002,3
1,0,NA,0,0,1,0.009,0,0.811,0.18,3
1,1,NA,0,1,NA,0.216,0.219,0.485,0.08,3
1,0,NA,NA,0,1,0.074,0,0.826,0.1,3
558,0,0,0,0,0,0,0.117,0,0.883,4
313,1,0,0,0,0,0,0.307,0,0.693,4
53,0,0,0,1,0,0,0.353,0,0.647,4
11,0,0,NA,0,0,0,0.231,0,0.769,4
9,0,NA,0,0,0,0,0.17,0,0.829,4
5,0,0,0,NA,0,0,0.138,0,0.862,4
5,1,NA,0,0,0,0.001,0.406,0,0.593,4
5,NA,0,0,0,0,0,0.186,0,0.814,4
3,0,NA,NA,NA,NA,0.08,0.266,0.167,0.487,4
3,1,0,0,NA,0,0,0.347,0,0.652,4
1,0,0,0,0,NA,0,0.107,0.067,0.826,4
1,0,NA,NA,0,0,0.001,0.318,0,0.681,4
1,NA,0,0,0,NA,0,0.159,0.125,0.716,4
1,NA,NA,0,0,0,0,0.261,0,0.739,4
1,0,NA,NA,NA,0,0.007,0.357,0,0.636,4
1,0,NA,0,1,0,0.006,0.455,0,0.539,4
1,1,0,0,NA,NA,0.005,0.239,0.297,0.46,4
1,1,0,0,0,NA,0.001,0.237,0.213,0.549,4
