id,population,source,level,d_middle,d_high,districtname,districtcode,schoolname,schoolcode,positioncode,grade,gender,d_female,race,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20,i21,i22,i23,i24,i25,i26,i27,i28,i29,i30,i31,i32,i33,i34,i35,i36,i37,i38,i39,i40,punitive_1,positive_1,sel_1,punitive_2,positive_2,sel_2,punitive_3,positive_3,sel_3,punitive_4,positive_4,sel_4,punitive_5,positive_5,sel_5,i9rev,i14rev,i24rev,i27rev,ii1rev,ii4rev,ii7rev,ii10rev,ii13rev
22R_3KqNvk2hgqAeVeo,4,2,1,0,0,Christina,33,Leasure (May B.) Elementary School,322,3,15,2,0,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1
22R_29tVs7vIfsBsmd8,4,2,1,0,0,Red Clay,32,Heritage Elementary School,242,3,15,2,0,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,2,4,2,4,4,2,3,4,2,3,4,1,1,1,1,3,2,3,3,3
22R_3rVr0t84WYEsTb8,3,2,1,0,0,Colonial,34,Southern Elementary School,427,4,15,2,0,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,3,4,3,4,3,4,3,3,1,3,3,2,4,4,1,4,4,3,4,3,1,4,4,1,1,2,2,4,3,4,2,4
22R_1n9kwPg4KEZlekb,2,2,1,0,0,Red Clay,32,Shortlidge (Evan G.) Academy,248,3,15,2,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,2,3,3,2,3,3,2,3,3,1,1,3,3,4,2,3,3,3
22R_2e81DUanDsUjf6F,1,2,1,0,0,Christina,33,Leasure (May B.) Elementary School,322,1,15,2,0,9999,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,1,4,4,4,4,4,4,4,4,1,1,4,4,4,4,4,1,1
22R_Diz63qI79EZIQyl,1,2,1,0,0,Appoquinimink,29,Townsend Elementary School,14,1,2,2,0,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,1,4,4,4,4,4,4,4
22R_1jwjGdWhQ8xsR5W,1,2,1,0,0,Christina,33,Smith (Jennie E.) Elementary School,330,1,2,2,0,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,1,4,4,4,4,4,4,4
22R_3FOF2ZXG8d3gJ5Q,1,2,1,0,0,Christina,33,Downes (John R.) Elementary School,318,1,3,2,0,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,1,4,4,4,4,4,4,4
22R_24pnaMVaxSGS88q,1,2,1,0,0,Christina,33,Smith (Jennie E.) Elementary School,330,2,15,1,1,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,1,4,4,4,4,4,4,4
22R_3fV3qh2tLFbYJIA,1,2,1,0,0,Colonial,34,Wilbur (Kathleen H.) Elementary,422,2,15,2,0,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,1,3,4,1,4,4,1,4,4,1,4,4,1,1,4,4,4,4,4,4,4
22R_33ffk9njlszNnI0,1,2,1,0,0,Cape Henlopen,17,Shields (Richard A.) Elementary School,712,1,5,2,0,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,2,3,3,2,3,4,2,3,3,2,3,3,1,1,4,4,4,3,3,3,3
22R_5AcN4QUZ7KD0bhn,1,2,1,0,0,Christina,33,West Park Place Elementary School,332,4,15,2,0,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,1,3,4,1,3,3,1,3,4,1,3,4,1,1,4,4,4,4,4,4,4
22R_2SvP9mGcBjDMgDf,2,2,1,0,0,Christina,33,Leasure (May B.) Elementary School,322,4,15,2,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,3,4,4,2,4,4,2,4,4,2,4,4,1,2,3,3,3,2,3,3,3
22R_3fjI05lAlV7s5L8,2,2,1,0,0,Colonial,34,Wilbur (Kathleen H.) Elementary,422,1,14,2,0,7,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,2,4,4,2,4,4,2,3,4,1,3,3,3,3,3,3,3,3
22R_20Vet53Gia8WDx7,1,2,1,0,0,Appoquinimink,29,Old State Elementary School,32,3,15,2,0,7,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,2,2,4,1,4,4,1,2,4,1,4,4,1,4,4,4,4,3,4,4,4
22R_3lRNem8esTFsNad,1,2,1,0,0,Christina,33,Wilson (Etta J.) Elementary School,334,1,3,2,0,7,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,1,4,4,1,4,4,4,4,4,1,4,4,4,4,4,4,4,1
22R_3KAYNTpxltNirnB,1,2,1,0,0,Appoquinimink,29,Cedar Lane Elementary School,11,1,1,2,0,7,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,3,3,4,1,4,4,1,4,4,4,4,4,3,3,3,3,3,3,3,4,1,4,4,4,4,4,1,4,4,2,3,3,1,3,4,1,4,4,4,4,1,4,3,4
22R_3hrxe2Z5DYMVBKQ,2,2,1,0,0,Appoquinimink,29,Loss (Olive B.) Elementary School,20,1,5,2,0,7,4,4,4,4,4,4,4,4,4,4,4,3,4,2,4,3,3,4,4,4,4,4,4,2,3,4,2,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,2,2,3,3,2,3,3,2,3,3,1,3,3,3,3,3,3,3,3
22R_cFH7NgkRSqJlglD,2,2,1,0,0,Brandywine,31,Maple Lane Elementary School,132,1,3,2,0,9999,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,4,4,3,3,4,4,4,2,4,4,3,4,3,2,3,3,3,3,3,4,3,3,3,4,2,3,3,2,3,3,2,3,3,2,4,3,2,3,3,1,2,3,2,3,3,3,3,3
22R_Wk5ZIU4sfxW4tQB,1,2,1,0,0,Cape Henlopen,17,Milton Elementary School,721,2,15,1,1,7,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,4,4,2,2,4,2,4,4,4,4,4
22R_2fDuwxi09uZWEmS,1,2,1,0,0,Red Clay,32,North Star Elementary School,270,1,15,2,0,7,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,1,4,4,2,4,3,3,4,3,4,4,4,4,4,4,3,4,1,4,4,1,2,3,1,4,3,1,2,3,1,3,3,2,2,4,3,4,4,4,4,4
22R_ZxG3MFtYTyg72sV,2,2,1,0,0,Capital,13,Booker T. Washington Elementary School,636,3,14,2,0,7,4,4,4,4,4,4,4,4,3,4,4,4,4,1,4,3,3,3,3,3,3,3,3,2,3,4,2,3,3,3,3,3,4,4,2,3,3,3,3,4,2,3,3,2,3,3,2,3,3,2,3,3,2,3,3,2,4,3,3,3,3,3,3,3
22R_QbRfvIt3crgRUsN,2,2,1,0,0,Colonial,34,Southern Elementary School,427,1,5,2,0,6,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,3,3,4,4,3,4,4,4,4,4,4,2,3,4,2,3,4,2,4,4,2,4,3,2,3,4,2,2,3,2,3,3,3,3,3
